City,City,Country,Max Temp,Lat,Lng,Hotel Name
10,Faanui,PF,79.95,-16.4833,-151.75,Oa Oa Lodge
12,Namibe,AO,78.39,-15.1961,12.1522,Hotel Chik Chik Namibe
13,Bredasdorp,ZA,75.56,-34.5322,20.0403,Victoria Hotel
15,Chuy,UY,75.72,-33.6971,-53.4616,Alerces
17,Catuday,PH,78.33,16.2923,119.8062,Nina Anchors Inn
19,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
22,Mackay,AU,76.68,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
24,Rikitea,PF,77.94,-23.1203,-134.9692,Chez Bianca & Benoit
26,Saint-Philippe,RE,85.59,-21.3585,55.7679,Le Baril
29,Kolokani,ML,88.59,13.5728,-8.0339,Hôtel kolokani
32,Hermanus,ZA,82.8,-34.4187,19.2345,Aloe guest house
33,Atuona,PF,77.41,-9.8,-139.0333,Pearl Resort
41,Cape Town,ZA,78.35,-33.9258,18.4232,Townhouse Hotel
45,Sagaing,MM,80.78,21.8787,95.9797,Top Royal Hotel
46,Port-Gentil,GA,82.36,-0.7193,8.7815,Tara-Mé
73,Mar Del Plata,AR,76.82,-38.0023,-57.5575,Nuevo Ostende
74,Karratha,AU,80.24,-20.7377,116.8463,Karratha International Hotel
80,Port Elizabeth,ZA,76.32,-33.918,25.5701,Waterford Hotel
82,Vila Velha,BR,76.95,-20.3297,-40.2925,Hotel Prainha
92,Georgetown,MY,82.33,5.4112,100.3354,Page 63 hostel
98,Boa Vista,BR,76.98,2.8197,-60.6733,Aipana Plaza Hotel
109,Caravelas,BR,80.78,-17.7125,-39.2481,Pousada dos Navegantes
117,La Asuncion,VE,76.23,11.0333,-63.8628,Hotel La Ciudad
121,Saint-Pierre,RE,85.68,-21.3393,55.4781,Tropic Hotel
123,Pemangkat,ID,78.73,1.1667,108.9667,Hotel Kelapa Gading
126,Santa Vitoria Do Palmar,BR,75.67,-33.5189,-53.3681,Hotel Brasil
151,Vaini,TO,80.76,-21.2,-175.2,Keleti International Resort
