City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hasaki,JP,35.7333,140.8333,41.4,71,93,6.4,overcast clouds
1,Guerrero Negro,MX,27.9769,-114.0611,56.59,74,0,3.94,clear sky
2,Jabinyanah,TN,35.035,10.9081,63.07,55,28,14.12,light rain
3,Juan Lacaze,UY,-34.4342,-57.4381,78.87,48,10,16.64,clear sky
4,Victoria,HK,22.2855,114.1577,69.21,68,70,5.01,broken clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,72.55,97,28,1.01,scattered clouds
6,Marawi,PH,7.9986,124.2928,66.94,91,100,1.16,overcast clouds
7,Tahta,EG,26.7693,31.5021,68.02,32,79,10.51,broken clouds
8,Samarai,PG,-10.6167,150.6667,81.46,80,100,5.12,overcast clouds
9,Barrow,US,71.2906,-156.7887,-9.38,77,100,16.11,haze
10,Faanui,PF,-16.4833,-151.75,79.95,71,10,1.88,clear sky
11,Berlevag,NO,70.8578,29.0864,19.4,76,45,10.07,scattered clouds
12,Namibe,AO,-15.1961,12.1522,78.39,61,39,11.9,scattered clouds
13,Bredasdorp,ZA,-34.5322,20.0403,75.56,53,26,17.11,scattered clouds
14,Terrasini,IT,38.146,13.0844,61.72,72,20,6.91,few clouds
15,Chuy,UY,-33.6971,-53.4616,75.72,54,3,10.36,clear sky
16,Tuktoyaktuk,CA,69.4541,-133.0374,-20.7,99,59,6.71,broken clouds
17,Catuday,PH,16.2923,119.8062,78.33,65,15,14.67,few clouds
18,Avera,US,33.194,-82.5271,35.11,73,60,5.97,broken clouds
19,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,20.71,scattered clouds
20,Iskateley,RU,67.6803,53.1512,-28.98,97,6,7.63,clear sky
21,Yerazgavors,AM,40.7,43.75,41.77,33,40,13.8,scattered clouds
22,Mackay,AU,-21.15,149.2,76.68,76,33,9.35,scattered clouds
23,Busselton,AU,-33.65,115.3333,63.43,67,0,16.15,clear sky
24,Rikitea,PF,-23.1203,-134.9692,77.94,73,31,13.06,scattered clouds
25,Mataura,NZ,-46.1927,168.8643,48.31,82,1,5.55,clear sky
26,Saint-Philippe,RE,-21.3585,55.7679,85.59,78,85,12.28,overcast clouds
27,Russell,US,32.3502,-85.1999,38.43,93,0,0.0,mist
28,Haines Junction,CA,60.7522,-137.5108,4.95,85,100,1.14,overcast clouds
29,Kolokani,ML,13.5728,-8.0339,88.59,14,58,13.38,broken clouds
30,Kangaatsiaq,GL,68.3065,-53.4641,3.34,92,96,5.86,overcast clouds
31,Oksfjord,NO,70.2396,22.3479,23.18,90,12,16.87,few clouds
32,Hermanus,ZA,-34.4187,19.2345,82.8,52,27,19.66,scattered clouds
33,Atuona,PF,-9.8,-139.0333,77.41,77,6,12.01,clear sky
34,Nanortalik,GL,60.1432,-45.2371,20.73,58,98,4.05,overcast clouds
35,Chifeng,CN,42.2683,118.9636,24.69,37,88,5.08,overcast clouds
36,Hobart,AU,-42.8794,147.3294,61.27,81,20,16.11,few clouds
37,Port Alfred,ZA,-33.5906,26.891,74.17,63,36,5.01,scattered clouds
38,Cherskiy,RU,68.75,161.3,-31.58,94,100,2.77,overcast clouds
39,Raga,SS,8.4596,25.678,87.49,16,95,7.58,overcast clouds
40,Punta Arenas,CL,-53.15,-70.9167,57.31,41,20,17.27,few clouds
41,Cape Town,ZA,-33.9258,18.4232,78.35,62,2,14.0,clear sky
42,Hilo,US,19.7297,-155.09,69.24,86,75,5.99,broken clouds
43,Belaya Gora,RU,68.5333,146.4167,-40.29,99,100,1.3,overcast clouds
44,Quesnel,CA,52.9999,-122.5029,35.11,84,80,10.54,broken clouds
45,Sagaing,MM,21.8787,95.9797,80.78,47,20,3.44,few clouds
46,Port-Gentil,GA,-0.7193,8.7815,82.36,78,75,11.5,light rain
47,Shache,CN,38.4167,77.2406,27.72,31,91,7.16,overcast clouds
48,Lauro Muller,BR,-28.3928,-49.3967,70.43,63,71,2.19,broken clouds
49,Thompson,CA,55.7435,-97.8558,9.34,93,95,6.64,overcast clouds
50,New Norfolk,AU,-42.7826,147.0587,60.93,67,0,1.54,clear sky
51,Marshfield,US,44.6689,-90.1718,11.28,85,0,3.44,clear sky
52,Lima,PE,-12.0432,-77.0282,66.9,86,40,9.22,scattered clouds
53,Lebu,CL,-37.6167,-73.65,60.08,82,71,1.16,broken clouds
54,Andenes,NO,69.3143,16.1194,26.58,50,20,25.32,few clouds
55,Saskylakh,RU,71.9167,114.0833,-53.07,100,71,4.45,broken clouds
56,Lompoc,US,34.6391,-120.4579,55.92,84,100,13.0,overcast clouds
57,Bluff,NZ,-46.6,168.3333,52.45,76,0,18.48,clear sky
58,Tyumentsevo,RU,53.3224,81.498,21.47,90,88,13.06,overcast clouds
59,Nikolskoye,RU,59.7035,30.7861,15.69,88,44,3.49,scattered clouds
60,Albany,US,42.6001,-73.9662,37.4,88,67,1.01,broken clouds
61,Butaritari,KI,3.0707,172.7902,80.33,78,32,13.8,scattered clouds
62,Dera Bugti,PK,29.0307,69.151,65.95,11,19,4.65,few clouds
63,Nago,JP,26.5881,127.9761,56.25,65,1,11.79,clear sky
64,Roebourne,AU,-20.7833,117.1333,81.73,70,31,25.86,scattered clouds
65,Upernavik,GL,72.7868,-56.1549,-15.3,81,25,8.9,scattered clouds
66,Kapaa,US,22.0752,-159.319,70.12,88,20,8.05,few clouds
67,Santa Flavia,IT,38.085,13.5351,63.64,66,29,4.0,scattered clouds
68,Qaanaaq,GL,77.484,-69.3632,-17.59,92,95,5.48,overcast clouds
69,Milkovo,RU,54.7167,158.6167,-13.47,99,88,2.04,overcast clouds
70,Ushtobe,KZ,45.2514,77.9838,33.82,98,100,7.07,overcast clouds
71,Kahului,US,20.8947,-156.47,71.62,83,0,8.05,clear sky
72,Margate,GB,51.3813,1.3862,50.31,87,96,10.0,overcast clouds
73,Mar Del Plata,AR,-38.0023,-57.5575,76.82,79,0,15.01,clear sky
74,Karratha,AU,-20.7377,116.8463,80.24,75,23,25.79,few clouds
75,Iquitos,PE,-3.7481,-73.2472,71.64,94,75,5.75,light rain
76,Nioro,GM,13.35,-15.75,89.83,11,37,12.15,scattered clouds
77,Arman,RU,59.7,150.1667,-1.98,93,100,8.59,overcast clouds
78,Ancud,CL,-41.8697,-73.8203,58.26,88,96,5.21,overcast clouds
79,Kuytun,RU,54.3419,101.5036,2.07,93,48,3.0,scattered clouds
80,Port Elizabeth,ZA,-33.918,25.5701,76.32,56,20,9.22,few clouds
81,Grindavik,IS,63.8424,-22.4338,32.47,74,75,19.57,broken clouds
82,Vila Velha,BR,-20.3297,-40.2925,76.95,96,40,4.61,scattered clouds
83,Shimoda,JP,34.6667,138.95,45.93,65,41,6.15,scattered clouds
84,Katsuura,JP,35.1333,140.3,45.55,77,66,5.79,broken clouds
85,Tilichiki,RU,60.4667,166.1,-20.36,91,78,9.6,broken clouds
86,Sola,VU,-13.8833,167.55,82.42,75,100,12.88,overcast clouds
87,Lidkoping,SE,58.5052,13.1577,37.42,96,100,9.73,overcast clouds
88,Orsha,BY,54.5153,30.4053,8.82,81,85,6.11,overcast clouds
89,Adrar,MR,20.5022,-10.0711,69.21,17,100,16.04,overcast clouds
90,Sungaipenuh,ID,-2.0833,101.3833,64.76,99,99,2.19,very heavy rain
91,Qandala,SO,11.472,49.8728,78.55,65,4,7.81,clear sky
